epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.2821621365017362e-07,1.3864030798806084
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,58.43333333333333,9.6,9.003433816697862,1.207139956580268
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,72.25555555555556,8.4,5.509578734503852,1.2736398759418064
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,80.8,3.311111111111111,8.18274724706014,1.2574408405092028
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,81.41111111111111,4.2,7.806607432471381,1.2187182008955213
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,81.74444444444444,4.322222222222222,7.909650793711345,1.189901822090149
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,82.12222222222222,3.577777777777778,8.153920613182915,1.2188563068177964
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,82.26666666666667,4.688888888888889,7.759241249084472,1.1880263636906943
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,82.16666666666667,4.788888888888889,7.93371855629815,1.1945802669525147
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,81.75555555555556,5.322222222222222,7.186521497938368,1.181448416603936
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,82.7,4.4,8.051894421895344,1.204457118988037
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,82.33333333333333,4.2444444444444445,8.007042150709363,1.1921954712337919
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.309850202149379e-07,12.054756830851238
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,83.7,100.0,4.3709991912363774e-10,10.218404435899522
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,83.77777777777777,99.9888888888889,7.899169579126703e-05,5.993705586327446
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,82.71111111111111,99.9,0.003201147010164277,3.7699049900902644
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,83.96666666666667,99.66666666666667,0.01025915699429849,3.033524384180705
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,84.04444444444445,95.37777777777778,0.1350296631898317,2.2303995119730633
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,84.45555555555555,89.46666666666667,0.3390232097142272,1.9011826062732273
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,84.56666666666666,78.82222222222222,0.7702085162666109,1.6740094918145074
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,84.54444444444445,72.73333333333333,1.0693094172477722,1.5817613059149849
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,84.65555555555555,57.1,1.9326900981267294,1.456371474901835
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,84.36666666666666,54.977777777777774,1.9919509272575378,1.4187944527732002
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,84.81111111111112,56.522222222222226,1.8804658691088358,1.3788137056562635
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
12,84.04444444444445,52.81111111111111,2.112628058857388,1.3583723883099026
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
13,84.27777777777777,45.62222222222222,2.614152424918281,1.3120594543880886
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
14,84.02222222222223,44.62222222222222,2.756359168158637,1.3153872105280557
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
15,84.35555555555555,49.233333333333334,2.2171216435962253,1.273146065182156
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
16,84.25555555555556,38.51111111111111,3.24542552863227,1.2747759592268202
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
17,84.18888888888888,36.355555555555554,3.3856580119662816,1.248267186058892
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
18,84.35555555555555,40.55555555555556,3.047027125994364,1.2046613999472724
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
19,84.88888888888889,30.92222222222222,4.068934925927056,1.1829585539499918
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
20,84.33333333333333,32.333333333333336,3.8449058666229248,1.1908358591927422
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
0,85.65555555555555,100.0,1.309850202149379e-07,12.054756830851238
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
1,66.47777777777777,10.4,9.617679286532931,1.4898626984490289
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
2,75.17777777777778,8.833333333333334,7.861853441450331,1.2322710376315646
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
3,81.83333333333333,3.7888888888888888,8.42685130098131,1.176720912085639
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
4,81.75555555555556,4.455555555555556,8.744426954905192,1.1342732713487413
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
5,82.7,3.988888888888889,8.38236923514472,1.1225685000949435
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
6,83.46666666666667,3.1333333333333333,8.681295673794217,1.1107695533964368
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
7,82.77777777777777,4.411111111111111,8.57635155529446,1.1149719520144992
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
8,82.36666666666666,4.7555555555555555,8.687836225721572,1.0859119159910413
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
9,82.86666666666666,4.0777777777777775,8.938078196207682,1.0700953665839301
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
10,83.65555555555555,2.7777777777777777,9.347357070075141,1.0740885651906331
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
11,83.52222222222223,3.488888888888889,8.99914647801717,1.0636265731387669
epoch,test_clean_acc,test_bad_acc,test_bad_cls_loss,test_bad_at_loss
